id_do_veiculo,tipo_de_veiculo,modelo_do_veiculo,categoria_das_pecas,nome_das_pecas,marca_das_pecas,modelo_do_veiculo_compativel,ano_do_veiculo_compativel,preco_da_peca,estoque,fornecedor_da_peca,codigo_de_barras,peso_da_peca_(kg),dimensao_da_peca_(cm),material_principal_da_peca,garantia_(meses),descricao_da_peca,numero_oem,data_de_fabricacao_da_peca,origem_da_peca
1,carro,vw gol,interior,botão do painel,monroe,vw gol,2016,1662.15,6,Dias,1551224547547,18.87,50x49x39,plástico,12,"botão do painel da marca monroe, compatível com vw gol, fabricado com alumínio.",OE69769313,2023-02-17,eua
2,caminhao,mercedes-benz actros,iluminacao,lanterna traseira,mahle,mercedes-benz actros,2021,2040.3,77,Nunes,4094490498467,9.98,27x11x9,plástico,36,"lanterna traseira da marca mahle, compatível com mercedes-benz actros, fabricado com aço.",OE49027333,2023-04-26,itália
3,caminhao,volvo fh 540,suspensao,amortecedor,cofap,volvo fh 540,2024,3848.63,22,Costela,9264219124785,74.39,39x51x14,aço,6,"amortecedor da marca cofap, compatível com volvo fh 540, fabricado com cerâmica.",OE63832336,2022-07-04,alemanha
4,carro,vw gol,iluminacao,lampada de farol,magneti marelli,vw gol,2011,1308.37,41,da Rosa,6878916844384,43.84,50x18x24,vidro,6,"lampada de farol da marca magneti marelli, compatível com vw gol, fabricado com cerâmica.",OE51196599,2022-06-22,méxico
5,carro,vw gol,eletrica,motor de partida,cofap,vw gol,2024,3781.61,46,Souza,3459596642274,38.81,24x34x27,aço,12,"motor de partida da marca cofap, compatível com vw gol, fabricado com aço.",OE31763631,2023-12-20,eua
7,caminhao,ford cargo 2429,motor,filtro de oleo,trw,ford cargo 2429,2015,1131.34,76,Porto,9418915582824,16.44,36x17x32,papel,12,"filtro de oleo da marca trw, compatível com ford cargo 2429, fabricado com cerâmica.",OE27365695,2023-12-23,japão
8,caminhao,scania r440,motor,bomba de oleo,trw,scania r440,2022,90.93,11,Costela,3423280504766,11.31,63x80x10,alumínio,6,"bomba de oleo da marca trw, compatível com scania r440, fabricado com plástico.",OE32802050,2022-07-16,itália
9,carro,chevrolet onix,eletrica,relé,cofap,chevrolet onix,2022,4356.49,24,Viana,8122586752264,26.98,22x55x24,plástico,12,"relé da marca cofap, compatível com chevrolet onix, fabricado com borracha.",OE63932577,2024-03-23,eua
11,carro,fiat uno,ar-condicionado,evaporador,trw,fiat uno,2023,177.34,74,Campos e Filhos,2197700216942,56.07,67x24x30,alumínio,24,"evaporador da marca trw, compatível com fiat uno, fabricado com plástico.",OE59691028,2025-03-18,brasil
12,carro,hyundai hb20,iluminacao,lampada de farol,luk,hyundai hb20,2024,5877.24,18,Cardoso,401540277714,18.38,15x16x20,vidro,6,"lampada de farol da marca luk, compatível com hyundai hb20, fabricado com aço.",OE50025082,2023-10-04,itália
13,caminhao,volvo fh 540,iluminacao,farol dianteiro,luk,volvo fh 540,2017,1464.44,65,Gonçalves,954596975726,21.6,61x48x11,vidro,36,"farol dianteiro da marca luk, compatível com volvo fh 540, fabricado com vidro.",OE18484450,2025-01-14,alemanha
14,carro,peugeot 208,freios,pastilha de freio,trw,peugeot 208,2024,4734.73,94,Rezende Cardoso - EI,5531592428163,58.92,68x70x26,cerâmica,18,"pastilha de freio da marca trw, compatível com peugeot 208, fabricado com aço.",OE49215100,2024-12-27,alemanha
15,carro,renault sandero,ar-condicionado,evaporador,monroe,renault sandero,2012,4912.44,43,da Cunha e Filhos,6657315820584,61.57,47x59x22,alumínio,36,"evaporador da marca monroe, compatível com renault sandero, fabricado com vidro.",OE60121089,2023-08-16,brasil
17,caminhao,daf xf 105,interior,painel central,mahle,daf xf 105,2019,3611.97,95,Moraes,557658584456,49.91,18x58x20,plástico,6,"painel central da marca mahle, compatível com daf xf 105, fabricado com borracha.",OE61086227,2023-05-25,itália
18,caminhao,ford cargo 2429,motor,bomba de oleo,magneti marelli,ford cargo 2429,2022,1350.73,17,Pires,8484768464410,39.19,31x19x14,alumínio,12,"bomba de oleo da marca magneti marelli, compatível com ford cargo 2429, fabricado com alumínio.",OE50708418,2024-07-03,méxico
19,carro,chevrolet onix,iluminacao,lampada de farol,hella,chevrolet onix,2024,1210.87,81,Martins Barros - EI,7208791767451,50.48,38x28x38,vidro,24,"lampada de farol da marca hella, compatível com chevrolet onix, fabricado com alumínio.",OE89540866,2024-02-18,alemanha
20,carro,renault sandero,interior,maçaneta interna,trw,renault sandero,2024,2634.5,33,Monteiro S.A.,3683385611602,1.02,56x65x32,borracha,36,"maçaneta interna da marca trw, compatível com renault sandero, fabricado com borracha.",OE96305034,2024-06-11,alemanha
21,caminhao,iveco stralis,ar-condicionado,compressor de ar,bosch,iveco stralis,2015,3954.95,63,da Costa Ltda.,8869138821381,21.86,11x19x43,alumínio,12,"compressor de ar da marca bosch, compatível com iveco stralis, fabricado com cerâmica.",OE84235838,2024-03-21,china
22,caminhao,ford cargo 2429,iluminacao,lanterna traseira,magneti marelli,ford cargo 2429,2018,5233.79,71,Melo Santos S.A.,3761941188246,12.82,27x50x19,plástico,24,"lanterna traseira da marca magneti marelli, compatível com ford cargo 2429, fabricado com cerâmica.",OE54001309,2024-11-04,méxico
24,carro,toyota corolla,iluminacao,lanterna traseira,mahle,toyota corolla,2012,1365.77,22,Melo - ME,7320688828622,18.92,32x78x33,plástico,36,"lanterna traseira da marca mahle, compatível com toyota corolla, fabricado com vidro.",OE56876550,2024-10-10,japão
25,caminhao,mercedes-benz actros,iluminacao,farol dianteiro,monroe,mercedes-benz actros,2023,4865.08,25,Moraes Silveira - EI,8691655749448,68.64,74x66x5,vidro,6,"farol dianteiro da marca monroe, compatível com mercedes-benz actros, fabricado com ferro fundido.",OE32403639,2024-10-06,brasil
26,caminhao,ford cargo 2429,interior,painel central,cofap,ford cargo 2429,2020,3541.95,62,Oliveira Ltda.,4998207058497,49.02,15x76x31,plástico,6,"painel central da marca cofap, compatível com ford cargo 2429, fabricado com ferro fundido.",OE66980318,2023-04-10,china
27,carro,chevrolet onix,iluminacao,lampada de farol,valeo,chevrolet onix,2020,3639.72,7,Moreira Ltda.,1453079180576,31.8,11x12x15,vidro,12,"lampada de farol da marca valeo, compatível com chevrolet onix, fabricado com aço.",OE62026125,2024-05-02,brasil
28,carro,chevrolet onix,eletrica,sensor de pressão,trw,chevrolet onix,2020,123.32,55,Rodrigues das Neves - EI,6484542631856,65.44,48x76x49,borracha,12,"sensor de pressão da marca trw, compatível com chevrolet onix, fabricado com borracha.",OE53963443,2025-01-29,brasil
29,carro,toyota corolla,ar-condicionado,compressor de ar,hella,toyota corolla,2016,2728.35,33,Vieira,979192945287,68.3,28x79x5,alumínio,36,"compressor de ar da marca hella, compatível com toyota corolla, fabricado com borracha.",OE45560917,2022-09-05,brasil
30,carro,chevrolet onix,motor,bomba de oleo,luk,chevrolet onix,2018,2119.78,52,Caldeira Costa - ME,7921218899312,39.14,69x15x5,alumínio,36,"bomba de oleo da marca luk, compatível com chevrolet onix, fabricado com borracha.",OE15208622,2023-12-22,méxico
31,carro,nissan versa,interior,botão do painel,cofap,nissan versa,2011,3401.01,48,Silveira Correia e Filhos,3093207120630,74.64,20x78x28,plástico,12,"botão do painel da marca cofap, compatível com nissan versa, fabricado com aço.",OE95972962,2023-02-09,méxico
32,caminhao,daf xf 105,iluminacao,lanterna traseira,magneti marelli,daf xf 105,2019,4549.08,3,Teixeira,1601636948842,49.01,21x80x21,plástico,24,"lanterna traseira da marca magneti marelli, compatível com daf xf 105, fabricado com cerâmica.",OE18043830,2023-01-22,china
33,caminhao,daf xf 105,freios,disco de freio,hella,daf xf 105,2017,4741.6,77,Lopes,8615058299690,68.38,78x78x10,borracha,12,"disco de freio da marca hella, compatível com daf xf 105, fabricado com borracha.",OE18087205,2024-06-22,eua
34,carro,fiat uno,ar-condicionado,condensador,hella,fiat uno,2016,5033.35,83,Cardoso Martins Ltda.,2708460229686,76.68,67x49x43,alumínio,24,"condensador da marca hella, compatível com fiat uno, fabricado com alumínio.",OE44389876,2022-12-18,brasil
35,carro,honda civic,suspensao,mola helicoidal,valeo,honda civic,2018,2372.54,45,Monteiro,3061670605343,3.85,77x55x22,plástico,36,"mola helicoidal da marca valeo, compatível com honda civic, fabricado com plástico.",OE61516393,2023-08-19,brasil
37,carro,toyota corolla,iluminacao,lampada de farol,luk,toyota corolla,2018,3286.12,2,Ramos,1952691507537,38.82,46x43x6,vidro,36,"lampada de farol da marca luk, compatível com toyota corolla, fabricado com aço.",OE25725539,2022-09-07,japão
38,caminhao,iveco stralis,iluminacao,farol dianteiro,trw,iveco stralis,2018,216.32,66,Lima S/A,8500711074311,29.13,64x23x11,vidro,12,"farol dianteiro da marca trw, compatível com iveco stralis, fabricado com vidro.",OE60191351,2023-05-27,japão
39,carro,chevrolet onix,iluminacao,lanterna traseira,trw,chevrolet onix,2010,672.49,2,Farias,3110819630934,17.4,48x42x39,plástico,24,"lanterna traseira da marca trw, compatível com chevrolet onix, fabricado com alumínio.",OE41587869,2023-03-02,japão
40,carro,nissan versa,suspensao,mola helicoidal,bosch,nissan versa,2017,1959.13,80,Souza Rezende - EI,7252840976165,19.97,60x41x34,cerâmica,18,"mola helicoidal da marca bosch, compatível com nissan versa, fabricado com cerâmica.",OE71518940,2022-06-05,eua
42,caminhao,volkswagen constellation,eletrica,bateria 60ah,luk,volkswagen constellation,2019,1604.82,29,Mendes Costa e Filhos,8573348801834,63.73,79x37x21,plástico,12,"bateria 60ah da marca luk, compatível com volkswagen constellation, fabricado com plástico.",OE19932679,2024-12-02,alemanha
44,carro,chevrolet onix,suspensao,amortecedor,trw,chevrolet onix,2014,5348.86,61,Rocha,6987170969761,69.72,70x38x19,aço,12,"amortecedor da marca trw, compatível com chevrolet onix, fabricado com vidro.",OE32636530,2023-06-26,china
45,carro,jeep renegade,freios,disco de freio,bosch,jeep renegade,2016,364.51,87,Moraes Ltda.,610592264195,13.52,67x79x11,cerâmica,24,"disco de freio da marca bosch, compatível com jeep renegade, fabricado com cerâmica.",OE94214031,2023-03-20,china
47,carro,jeep renegade,eletrica,sensor de pressão,mahle,jeep renegade,2010,4433.95,45,da Rocha Campos S/A,977264807419,71.49,59x25x24,ferro fundido,24,"sensor de pressão da marca mahle, compatível com jeep renegade, fabricado com ferro fundido.",OE91812639,2023-12-05,méxico
48,carro,nissan versa,motor,vela de ignicao,luk,nissan versa,2022,1718.68,100,Gomes - EI,2635737686708,68.33,78x71x26,plástico,36,"vela de ignicao da marca luk, compatível com nissan versa, fabricado com plástico.",OE16353495,2024-12-14,itália
49,carro,hyundai hb20,motor,bomba de oleo,hella,hyundai hb20,2024,5726.32,35,Freitas Nunes S/A,7433870285223,21.88,66x61x14,alumínio,18,"bomba de oleo da marca hella, compatível com hyundai hb20, fabricado com alumínio.",OE73153197,2023-05-13,méxico
50,caminhao,volvo fh 540,motor,filtro de oleo,mahle,volvo fh 540,2018,4124.42,58,Monteiro Aragão - ME,2164841631439,15.26,44x35x26,papel,24,"filtro de oleo da marca mahle, compatível com volvo fh 540, fabricado com ferro fundido.",OE33225568,2022-10-21,alemanha
51,carro,peugeot 208,motor,correia dentada,magneti marelli,peugeot 208,2013,2583.05,33,Viana,9921608589104,40.89,66x76x34,cerâmica,18,"correia dentada da marca magneti marelli, compatível com peugeot 208, fabricado com cerâmica.",OE18218700,2024-08-03,japão
52,carro,jeep renegade,motor,bomba de oleo,monroe,jeep renegade,2011,281.2,7,Aragão,6999234669456,46.63,15x78x34,alumínio,12,"bomba de oleo da marca monroe, compatível com jeep renegade, fabricado com alumínio.",OE96030185,2022-11-17,eua
53,caminhao,iveco stralis,interior,painel central,mahle,iveco stralis,2024,274.42,75,Azevedo Cardoso Ltda.,726803225210,59.24,79x27x25,plástico,24,"painel central da marca mahle, compatível com iveco stralis, fabricado com ferro fundido.",OE17921836,2022-07-31,itália
54,caminhao,scania r440,freios,disco de freio,magneti marelli,scania r440,2021,2149.71,97,Cardoso,6310191234141,55.18,54x47x7,ferro fundido,18,"disco de freio da marca magneti marelli, compatível com scania r440, fabricado com ferro fundido.",OE44424467,2022-06-18,japão
55,carro,chevrolet onix,motor,vela de ignicao,valeo,chevrolet onix,2015,5157.09,20,Silva,7758031719493,2.22,29x52x16,plástico,24,"vela de ignicao da marca valeo, compatível com chevrolet onix, fabricado com plástico.",OE15046558,2024-10-13,china
57,carro,peugeot 208,ar-condicionado,condensador,cofap,peugeot 208,2018,2072.39,64,Silveira Alves - ME,9185502264561,39.88,46x43x25,vidro,24,"condensador da marca cofap, compatível com peugeot 208, fabricado com vidro.",OE68508996,2023-11-17,china
58,caminhao,man tgx 29.480,iluminacao,lanterna traseira,bosch,man tgx 29.480,2023,4327.5,11,Martins,3607244305877,60.15,71x30x5,plástico,24,"lanterna traseira da marca bosch, compatível com man tgx 29.480, fabricado com vidro.",OE78985055,2024-07-25,alemanha
59,carro,chevrolet onix,interior,acabamento de porta,magneti marelli,chevrolet onix,2013,1527.89,91,Jesus Nunes - EI,5091383102479,11.2,23x21x12,alumínio,24,"acabamento de porta da marca magneti marelli, compatível com chevrolet onix, fabricado com alumínio.",OE50755051,2022-08-15,china
60,caminhao,man tgx 29.480,freios,disco de freio,bosch,man tgx 29.480,2019,479.29,9,Porto,4345107299374,10.15,76x29x18,cerâmica,18,"disco de freio da marca bosch, compatível com man tgx 29.480, fabricado com cerâmica.",OE17878911,2022-06-04,japão
61,carro,toyota corolla,ar-condicionado,evaporador,trw,toyota corolla,2011,3521.98,98,Araújo Rodrigues - ME,75018417119,27.35,78x10x41,alumínio,36,"evaporador da marca trw, compatível com toyota corolla, fabricado com borracha.",OE47865767,2022-05-20,itália
62,carro,toyota corolla,eletrica,bateria 60ah,valeo,toyota corolla,2020,3420.15,72,Lima S/A,4083024244267,21.91,31x75x43,cerâmica,24,"bateria 60ah da marca valeo, compatível com toyota corolla, fabricado com cerâmica.",OE93188819,2024-09-29,itália
65,caminhao,ford cargo 2429,eletrica,bateria 60ah,trw,ford cargo 2429,2022,650.45,16,Cunha,998342891731,65.34,37x12x41,aço,36,"bateria 60ah da marca trw, compatível com ford cargo 2429, fabricado com aço.",OE26454856,2024-04-18,brasil
66,carro,fiat uno,iluminacao,lampada de farol,cofap,fiat uno,2012,2138.04,20,Pereira,7035519342900,59.22,57x73x38,vidro,12,"lampada de farol da marca cofap, compatível com fiat uno, fabricado com vidro.",OE41707956,2025-03-23,alemanha
67,carro,chevrolet onix,suspensao,bucha da bandeja,cofap,chevrolet onix,2019,2896.81,44,Freitas,6068174292441,57.24,78x43x49,plástico,18,"bucha da bandeja da marca cofap, compatível com chevrolet onix, fabricado com plástico.",OE30598503,2023-11-17,brasil
68,carro,honda civic,freios,disco de freio,bosch,honda civic,2022,1065.12,45,Correia,4941080826257,23.95,60x76x27,aço,12,"disco de freio da marca bosch, compatível com honda civic, fabricado com aço.",OE85970961,2023-07-31,china
69,caminhao,scania r440,iluminacao,lanterna traseira,bosch,scania r440,2018,5804.23,64,da Conceição Silva e Filhos,6525041451351,58.14,56x20x25,plástico,24,"lanterna traseira da marca bosch, compatível com scania r440, fabricado com vidro.",OE97617876,2023-01-30,itália
71,carro,renault sandero,freios,disco de freio,cofap,renault sandero,2019,3587.56,90,Porto,648350405597,73.51,79x52x16,aço,36,"disco de freio da marca cofap, compatível com renault sandero, fabricado com aço.",OE46272404,2024-02-10,brasil
72,carro,honda civic,iluminacao,lampada de farol,magneti marelli,honda civic,2018,1598.63,21,Araújo,196724240126,17.84,73x52x50,vidro,24,"lampada de farol da marca magneti marelli, compatível com honda civic, fabricado com alumínio.",OE64388316,2024-08-12,eua
73,carro,honda civic,interior,acabamento de porta,bosch,honda civic,2017,2576.69,90,Peixoto,7747688657180,14.77,45x30x18,plástico,18,"acabamento de porta da marca bosch, compatível com honda civic, fabricado com plástico.",OE95768362,2024-05-11,itália
74,caminhao,volkswagen constellation,freios,tambor de freio,cofap,volkswagen constellation,2019,1746.68,82,Freitas,8433847085169,53.65,54x51x13,borracha,18,"tambor de freio da marca cofap, compatível com volkswagen constellation, fabricado com borracha.",OE44907876,2025-03-25,china
75,carro,toyota corolla,suspensao,bieleta,valeo,toyota corolla,2010,4827.22,25,Dias - ME,819449522420,60.92,54x66x37,aço,12,"bieleta da marca valeo, compatível com toyota corolla, fabricado com aço.",OE94713013,2023-02-09,japão
76,carro,renault sandero,eletrica,bateria 60ah,luk,renault sandero,2022,4648.04,99,Sales,9407500968747,49.68,51x76x39,plástico,6,"bateria 60ah da marca luk, compatível com renault sandero, fabricado com plástico.",OE93514518,2023-11-09,china
77,carro,chevrolet onix,motor,vela de ignicao,luk,chevrolet onix,2021,1651.56,43,Silva,7544103455129,10.15,38x56x13,plástico,18,"vela de ignicao da marca luk, compatível com chevrolet onix, fabricado com plástico.",OE93870086,2024-03-08,méxico
78,carro,renault sandero,motor,correia dentada,monroe,renault sandero,2016,3563.94,53,da Mota S.A.,415001152816,71.67,59x44x20,vidro,18,"correia dentada da marca monroe, compatível com renault sandero, fabricado com vidro.",OE73455823,2023-10-29,méxico
81,carro,hyundai hb20,ar-condicionado,condensador,cofap,hyundai hb20,2021,2561.97,31,Teixeira,8266805218879,61.23,70x65x28,plástico,24,"condensador da marca cofap, compatível com hyundai hb20, fabricado com plástico.",OE75873651,2023-02-18,alemanha
82,caminhao,daf xf 105,freios,disco de freio,valeo,daf xf 105,2022,272.7,3,Moraes Vieira Ltda.,1903511854706,11.55,30x33x42,aço,36,"disco de freio da marca valeo, compatível com daf xf 105, fabricado com aço.",OE96052376,2023-11-14,brasil
84,carro,peugeot 208,interior,maçaneta interna,luk,peugeot 208,2010,855.54,3,Lima Vieira S/A,176483201583,16.23,40x28x24,alumínio,6,"maçaneta interna da marca luk, compatível com peugeot 208, fabricado com alumínio.",OE63791191,2024-09-04,eua
85,carro,peugeot 208,ar-condicionado,condensador,valeo,peugeot 208,2022,3368.53,41,da Mota e Filhos,8881189134012,52.04,56x49x21,cerâmica,24,"condensador da marca valeo, compatível com peugeot 208, fabricado com cerâmica.",OE34952693,2023-07-13,brasil
86,carro,hyundai hb20,interior,botão do painel,valeo,hyundai hb20,2020,3920.33,1,Aragão,9976231629505,28.7,17x47x39,plástico,6,"botão do painel da marca valeo, compatível com hyundai hb20, fabricado com alumínio.",OE19668403,2024-11-18,alemanha
89,carro,jeep renegade,freios,disco de freio,mahle,jeep renegade,2018,5862.45,8,da Mata da Rocha e Filhos,135949219524,69.33,80x19x9,cerâmica,6,"disco de freio da marca mahle, compatível com jeep renegade, fabricado com cerâmica.",OE78291583,2024-08-08,méxico
90,carro,hyundai hb20,interior,acabamento de porta,hella,hyundai hb20,2020,2560.09,61,Rocha - EI,5626708212580,74.54,54x21x7,alumínio,24,"acabamento de porta da marca hella, compatível com hyundai hb20, fabricado com alumínio.",OE46327345,2024-04-12,china
91,carro,honda civic,ar-condicionado,evaporador,cofap,honda civic,2012,3329.0,28,Barros Ltda.,1179971629110,4.84,12x21x19,alumínio,24,"evaporador da marca cofap, compatível com honda civic, fabricado com aço.",OE10598833,2024-06-08,alemanha
94,carro,renault sandero,interior,painel central,bosch,renault sandero,2019,1011.07,53,Almeida,1098259101387,29.17,59x38x17,plástico,24,"painel central da marca bosch, compatível com renault sandero, fabricado com vidro.",OE74755750,2022-09-27,china
95,caminhao,volkswagen constellation,eletrica,alternador,bosch,volkswagen constellation,2022,4096.26,42,Lopes Porto - ME,5625079882446,28.45,48x35x19,ferro fundido,6,"alternador da marca bosch, compatível com volkswagen constellation, fabricado com ferro fundido.",OE14647338,2022-10-07,eua
